task_id,role,reasoning_tokens,natural_boundary,reasoning_capped,early_eos,reasoning_seconds,timing_complete,history_path,history_sha256
leetcode/3731,source,1927,True,False,False,136.44733712309971,True,primary/tasks/leetcode__3731/large_history/source_history.json,0254d81a3510fdc3785cbed5899978bf9faed5bd113d97520ab5bb0a96d294dc
leetcode/3731,small,2031,True,False,False,82.21726996824145,True,primary/tasks/leetcode__3731/small_history/source_history.json,de778af9f00646ee544b74ded2d90401b729be1b563a3b00792fc4bdc7c123a3
atcoder/abc392_b,source,2741,True,False,False,192.75468868017197,True,primary/tasks/atcoder__abc392_b/large_history/source_history.json,bb9b1b512ed6e70ce42662c1f7a5a11b166cdc71723a072a88d53c10b7c320c8
atcoder/abc392_b,small,1953,True,False,False,85.76494789496064,True,primary/tasks/atcoder__abc392_b/small_history/source_history.json,1a4e16f36b95440c903e5c5895ecf6a3d9cdbfcefae014034eb3632ce2475f2a
leetcode/3654,source,15575,True,False,False,1115.634456851054,True,primary/tasks/leetcode__3654/large_history/source_history.json,29c432c846d8be402c703dac975699548f102db47e285f6b67734a8e9a779181
leetcode/3654,small,14808,True,False,False,592.8784450739622,True,primary/tasks/leetcode__3654/small_history/source_history.json,e6867d2aa10aceecea47909227db7ad9f262a4ca9906d15ff7798d9173155053
atcoder/abc371_b,source,1447,True,False,False,102.1720394124277,True,primary/tasks/atcoder__abc371_b/large_history/source_history.json,3b0d07f91606fcc7659136a88d5acb1400a714707fdf5bd72b37d4d0faa5260f
atcoder/abc371_b,small,1789,True,False,False,71.89006232377142,True,primary/tasks/atcoder__abc371_b/small_history/source_history.json,2c1334ea06cef1391d3dc58d77dc332958a1e2ab1dde15fc17307d72332927cd
atcoder/abc388_f,source,18265,True,False,False,1286.3669764711522,True,primary/tasks/atcoder__abc388_f/large_history/source_history.json,a13b2f8e8b9ca8b5ae5715afe25a771986c61bec59c1fbb191ffc28ad6659a7a
atcoder/abc388_f,small,14889,True,False,False,601.7169520659372,True,primary/tasks/atcoder__abc388_f/small_history/source_history.json,b8119cec0e36ebb413acfce2c9a66375a500a554508d74d3abe135129f414222
atcoder/arc195_a,source,17410,True,False,False,1242.1696264757775,True,primary/tasks/atcoder__arc195_a/large_history/source_history.json,3613da0bc84139cf60984fd45c748d03d56b6c1f0fcaaff5324c1452602c1205
atcoder/arc195_a,small,17689,True,False,False,703.6338497260585,True,primary/tasks/atcoder__arc195_a/small_history/source_history.json,305cddc75cff2878644f7f1dcb0953c5a0b2dcefad6f8500cafca6220abf16db
atcoder/arc194_e,source,21545,True,False,False,1532.4561778292991,True,primary/tasks/atcoder__arc194_e/large_history/source_history.json,f9cd8365b836f4c58d4bc0a56f5833e1f2624f782d36c25a7a8f2918afb6c6ce
