task_id,contrast,draws_per_condition,left_passes,right_passes,paired_difference,paired_draw_changes
leetcode/3384,R_10-H,3,3,3,0.0,"[0,0,0]"
leetcode/3412,R_10-H,3,3,2,0.3333333333333333,"[0,1,0]"
leetcode/3428,R_10-H,3,3,3,0.0,"[0,0,0]"
leetcode/3461,R_10-H,3,3,3,0.0,"[0,0,0]"
atcoder/abc353_e,R_10-H,3,3,1,0.6666666666666666,"[0,1,1]"
leetcode/3464,R_10-H,3,3,0,1.0,"[1,1,1]"
leetcode/3413,R_10-H,3,3,3,0.0,"[0,0,0]"
leetcode/3482,R_10-H,3,3,0,1.0,"[1,1,1]"
atcoder/abc364_d,R_10-H,3,3,3,0.0,"[0,0,0]"
leetcode/3455,R_10-H,3,3,0,1.0,"[1,1,1]"
leetcode/3454,R_10-H,3,0,0,0.0,"[0,0,0]"
atcoder/abc360_c,R_10-H,3,3,3,0.0,"[0,0,0]"
leetcode/3384,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3412,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3428,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3461,R_10-R_random,3,3,3,0.0,"[0,0,0]"
atcoder/abc353_e,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3464,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3413,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3482,R_10-R_random,3,3,3,0.0,"[0,0,0]"
atcoder/abc364_d,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3455,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3454,R_10-R_random,3,0,0,0.0,"[0,0,0]"
atcoder/abc360_c,R_10-R_random,3,3,3,0.0,"[0,0,0]"
leetcode/3384,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
leetcode/3412,R_10-R_recent,3,3,2,0.3333333333333333,"[0,1,0]"
leetcode/3428,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
leetcode/3461,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
atcoder/abc353_e,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
leetcode/3464,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
leetcode/3413,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
leetcode/3482,R_10-R_recent,3,3,0,1.0,"[1,1,1]"
atcoder/abc364_d,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
leetcode/3455,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
leetcode/3454,R_10-R_recent,3,0,0,0.0,"[0,0,0]"
atcoder/abc360_c,R_10-R_recent,3,3,3,0.0,"[0,0,0]"
leetcode/3384,N_5-M_5,3,3,3,0.0,"[0,0,0]"
leetcode/3412,N_5-M_5,3,3,3,0.0,"[0,0,0]"
leetcode/3428,N_5-M_5,3,3,3,0.0,"[0,0,0]"
leetcode/3461,N_5-M_5,3,3,3,0.0,"[0,0,0]"
atcoder/abc353_e,N_5-M_5,3,3,0,1.0,"[1,1,1]"
leetcode/3464,N_5-M_5,3,3,0,1.0,"[1,1,1]"
leetcode/3413,N_5-M_5,3,3,2,0.3333333333333333,"[1,0,0]"
leetcode/3482,N_5-M_5,3,3,0,1.0,"[1,1,1]"
atcoder/abc364_d,N_5-M_5,3,3,3,0.0,"[0,0,0]"
leetcode/3455,N_5-M_5,3,3,1,0.6666666666666666,"[1,1,0]"
leetcode/3454,N_5-M_5,3,0,0,0.0,"[0,0,0]"
atcoder/abc360_c,N_5-M_5,3,3,3,0.0,"[0,0,0]"
leetcode/3384,N_10-M_10,3,3,3,0.0,"[0,0,0]"
leetcode/3412,N_10-M_10,3,3,3,0.0,"[0,0,0]"
leetcode/3428,N_10-M_10,3,3,3,0.0,"[0,0,0]"
leetcode/3461,N_10-M_10,3,3,3,0.0,"[0,0,0]"
atcoder/abc353_e,N_10-M_10,3,3,0,1.0,"[1,1,1]"
leetcode/3464,N_10-M_10,3,3,0,1.0,"[1,1,1]"
leetcode/3413,N_10-M_10,3,3,3,0.0,"[0,0,0]"
leetcode/3482,N_10-M_10,3,3,0,1.0,"[1,1,1]"
atcoder/abc364_d,N_10-M_10,3,3,3,0.0,"[0,0,0]"
leetcode/3455,N_10-M_10,3,3,0,1.0,"[1,1,1]"
leetcode/3454,N_10-M_10,3,0,0,0.0,"[0,0,0]"
atcoder/abc360_c,N_10-M_10,3,3,3,0.0,"[0,0,0]"
leetcode/3384,N_25-M_25,3,3,3,0.0,"[0,0,0]"
leetcode/3412,N_25-M_25,3,3,3,0.0,"[0,0,0]"
leetcode/3428,N_25-M_25,3,3,3,0.0,"[0,0,0]"
leetcode/3461,N_25-M_25,3,3,3,0.0,"[0,0,0]"
atcoder/abc353_e,N_25-M_25,3,3,2,0.3333333333333333,"[1,0,0]"
leetcode/3464,N_25-M_25,3,3,0,1.0,"[1,1,1]"
leetcode/3413,N_25-M_25,3,3,3,0.0,"[0,0,0]"
leetcode/3482,N_25-M_25,3,3,0,1.0,"[1,1,1]"
atcoder/abc364_d,N_25-M_25,3,3,3,0.0,"[0,0,0]"
leetcode/3455,N_25-M_25,3,3,0,1.0,"[1,1,1]"
leetcode/3454,N_25-M_25,3,0,0,0.0,"[0,0,0]"
atcoder/abc360_c,N_25-M_25,3,3,3,0.0,"[0,0,0]"
leetcode/3384,R_5-H,3,3,3,0.0,"[0,0,0]"
leetcode/3412,R_5-H,3,3,2,0.3333333333333333,"[0,1,0]"
leetcode/3428,R_5-H,3,3,3,0.0,"[0,0,0]"
leetcode/3461,R_5-H,3,3,3,0.0,"[0,0,0]"
atcoder/abc353_e,R_5-H,3,3,1,0.6666666666666666,"[0,1,1]"
leetcode/3464,R_5-H,3,3,0,1.0,"[1,1,1]"
leetcode/3413,R_5-H,3,3,3,0.0,"[0,0,0]"
leetcode/3482,R_5-H,3,3,0,1.0,"[1,1,1]"
atcoder/abc364_d,R_5-H,3,3,3,0.0,"[0,0,0]"
leetcode/3455,R_5-H,3,3,0,1.0,"[1,1,1]"
leetcode/3454,R_5-H,3,0,0,0.0,"[0,0,0]"
atcoder/abc360_c,R_5-H,3,3,3,0.0,"[0,0,0]"
leetcode/3384,R_25-H,3,3,3,0.0,"[0,0,0]"
leetcode/3412,R_25-H,3,3,2,0.3333333333333333,"[0,1,0]"
leetcode/3428,R_25-H,3,3,3,0.0,"[0,0,0]"
leetcode/3461,R_25-H,3,3,3,0.0,"[0,0,0]"
atcoder/abc353_e,R_25-H,3,3,1,0.6666666666666666,"[0,1,1]"
leetcode/3464,R_25-H,3,3,0,1.0,"[1,1,1]"
leetcode/3413,R_25-H,3,3,3,0.0,"[0,0,0]"
leetcode/3482,R_25-H,3,3,0,1.0,"[1,1,1]"
atcoder/abc364_d,R_25-H,3,3,3,0.0,"[0,0,0]"
leetcode/3455,R_25-H,3,3,0,1.0,"[1,1,1]"
leetcode/3454,R_25-H,3,0,0,0.0,"[0,0,0]"
atcoder/abc360_c,R_25-H,3,3,3,0.0,"[0,0,0]"
