task_id,SMALL_ONLY_passes,SMALL_ONLY_missing,H10_passes,H10_missing,H25_passes,H25_missing,H50_passes,H50_missing,H75_passes,H75_missing,FULL_TEXT_passes,FULL_TEXT_missing,LARGE_ONLY_passes,LARGE_ONLY_missing
atcoder/abc356_a,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc358_b,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3511,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc359_a,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3412,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc349_a,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3428,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3450,3,0,3,0,2,0,3,0,3,0,3,0,3,0
leetcode/3379,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3484,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc362_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leetcode/3455,0,0,0,0,0,0,3,0,3,0,3,0,3,0
leetcode/3464,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc357_d,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc360_c,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3430,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3384,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3461,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3453,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3413,0,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc357_c,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3462,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc364_e,0,0,0,0,0,2,0,3,0,3,0,3,0,2
atcoder/abc351_d,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc352_e,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc359_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atcoder/abc362_e,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc364_d,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc348_e,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc351_f,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc362_d,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atcoder/abc353_e,3,0,3,0,0,0,3,0,3,0,3,0,3,0
leetcode/3482,0,0,0,0,0,0,3,0,0,0,1,0,1,0
atcoder/abc363_e,3,0,3,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc349_d,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3454,0,0,0,0,0,0,0,0,3,0,3,0,3,0
atcoder/abc358_e,3,0,3,0,3,0,3,0,3,0,3,0,3,0
leetcode/3466,3,0,0,0,3,0,3,0,3,0,3,0,3,0
atcoder/abc359_d,3,0,3,0,3,0,3,0,3,0,3,0,3,0
